,TIPO,variable_1,variable_2,variable_3,variable_4,variable_5
31,Effect,-0.25554603338241577,-1.0513651371002197,-0.9185437560081482,1.4707071781158447,-0.22208090126514435
32,Effect,0.017472436651587486,-0.7092364430427551,-0.49498260021209717,1.655599594116211,-0.21535474061965942
33,Cause,-0.852715253829956,-1.1390833854675293,-0.6887641549110413,2.160130023956299,-0.4717610776424408
34,Cause,-0.07518591731786728,-0.47200632095336914,-1.3555690050125122,2.2469968795776367,-0.1721852570772171
35,Cause,0.017472436651587486,-0.7092364430427551,-0.49498260021209717,1.655599594116211,-0.21535474061965942
36,Cause,0.11752882599830627,0.08060364425182343,-0.3368244171142578,1.5730338096618652,-0.4159661829471588
37,Cause,0.39601626992225647,-0.18908224999904633,-0.6514772772789001,1.5328158140182495,-0.6795094609260559
38,Cause,-0.08294052630662918,-0.11463971436023712,-0.6779738068580627,1.7694683074951172,-0.3403606116771698
39,Problem,-0.3242799937725067,-0.9212462306022644,-0.6090852618217468,1.7996340990066528,-0.5648019313812256
40,Effect,-0.37923017144203186,-0.5290907621383667,-0.15727032721042633,1.740378499031067,-0.845130205154419
41,Effect,-0.33571720123291016,-0.5382100343704224,-0.7934678792953491,1.6111136674880981,-0.19638033211231232
42,Effect,-0.5305495858192444,-0.9555737376213074,-0.38956746459007263,1.6399568319320679,-0.9425123333930969
43,Effect,-0.18525296449661255,-1.3276077508926392,-0.43535110354423523,1.6697361469268799,-0.7911386489868164
44,Cause,-0.2272665798664093,0.06778152287006378,-0.44541457295417786,1.908138632774353,-0.6691650748252869
45,Cause,-0.39678505063056946,-0.2149912416934967,-0.4893808364868164,1.9311766624450684,-0.6122964024543762
46,Cause,-0.2462984025478363,0.1674555242061615,-0.40971556305885315,2.1226677894592285,-0.5382615327835083
47,Cause,-0.2794159948825836,-0.341620534658432,-0.6722003221511841,2.167628288269043,-0.6397446393966675
48,Problem,-0.3475915193557739,-0.23781220614910126,-1.4287277460098267,2.0664451122283936,0.009097648784518242
49,Effect,-0.5126610994338989,-0.8963331580162048,-1.4264568090438843,2.2821507453918457,0.2696637511253357
50,Effect,0.24238792061805725,-0.7093679904937744,-0.5074930787086487,2.1828296184539795,-0.27218928933143616
51,Effect,-0.06255268305540085,-0.1786586493253708,-0.24718375504016876,1.0082074403762817,-0.26483944058418274
52,Effect,-0.14600837230682373,-0.1333267092704773,-0.24938929080963135,1.2579618692398071,-0.22380979359149933
53,Effect,0.4025000035762787,0.4275447428226471,-0.3454493284225464,2.201874256134033,-0.4625948965549469
54,Effect,-0.11661459505558014,-0.2815435230731964,-0.15367719531059265,0.7981669306755066,-0.1977171003818512
55,Effect,-0.6366050839424133,-1.5063838958740234,-1.1202479600906372,1.9926481246948242,-0.21402370929718018
56,Effect,-0.3133161664009094,0.17659269273281097,-0.6231452226638794,2.239114761352539,-0.26603785157203674
57,Effect,0.9663037657737732,-1.2375375032424927,-1.201410174369812,2.748525857925415,-0.14622622728347778
58,Effect,-0.9542843699455261,-0.7964043021202087,-1.4803394079208374,2.092017412185669,-0.12252338975667953
59,Effect,-0.38781803846359253,-0.825924277305603,-1.957909345626831,2.3332464694976807,0.163538858294487
60,Effect,0.1412595808506012,-0.2447548806667328,-0.9961410760879517,1.9990017414093018,-0.47016364336013794
61,Cause,-0.37579432129859924,-0.133276104927063,-1.1821397542953491,1.4913761615753174,0.09771503508090973
62,Cause,-0.45889243483543396,-0.26111504435539246,-0.637219250202179,1.5089499950408936,-0.2708607614040375
63,Cause,0.2309972643852234,-0.4649456739425659,-1.0070126056671143,2.391111373901367,-0.13154232501983643
64,Cause,-0.37514010071754456,-0.10473112016916275,-0.9596083164215088,1.5480831861495972,-0.24617581069469452
65,Cause,-0.0943562313914299,-0.1318814754486084,-0.4028239846229553,1.0630030632019043,-0.2867810130119324
66,Cause,-0.6303300857543945,-0.39581891894340515,-1.0396817922592163,1.751996636390686,-0.07244246453046799
67,Cause,0.333407461643219,-0.17759384214878082,-0.44827935099601746,2.1458470821380615,-0.42894119024276733
